;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5000;5000;5000.02;5000;5000.01;5000.05;5000.19;5000.12;5000.01;5000.03;5000.14;5000.07;5000.02;5000.01;5000.07;5000.02;5000.01;5000.43;5000.03;
2;5000;1705.74;999.531;2037.4;3269.78;2593.18;4203.11;4573.7;4881.57;5000.01;5000.06;5000.01;5000.02;5000.01;5000.05;5000.02;5000.21;5000.02;5000.12;
3;3088.7;234.606;87.6535;197.497;493.666;1055.24;1229.15;2121.51;3366.72;3851.69;4791.66;4708.94;5000.09;5000.16;4811.8;5000.02;5000.1;5000.09;5000.02;
4;231.939;535.197;145.504;146.102;395.496;695.943;362.202;1384.6;1570.76;3259.66;2625.14;3379.26;3562.45;4150.97;4688.11;4396.8;5000.03;4591.84;5000.67;
5;408.959;87.2187;84.6236;111.137;125.306;158.201;1005.19;527.936;2145.18;1347.78;1634.09;2003.34;2916.01;3786.13;4435.53;4914.17;5000.04;4096.41;4738.91;
6;173.654;103.428;108.227;88.8854;148.164;117.191;131.287;254.8;131.46;1196.07;1780.85;1595.43;3076.61;3809.24;2899.1;3123.93;4284.3;4125.42;3866.74;
7;207.67;95.1882;36.6103;68.7075;51.061;99.2681;111.749;561.003;299.112;424.395;629.549;3326.43;3549.71;4208.26;2912.27;2867.77;4548.88;3567.21;4560.99;
8;154.169;62.1467;366.641;38.427;106.632;102.847;406.545;498.938;297.807;780.921;1822.54;3085.74;3209.4;4817.77;3349.81;3884.43;1552.29;2161.03;2816;
9;206.283;552.804;104.826;65.0496;142.73;172.298;178.519;759.008;1396.28;1387.51;1936.73;3599.11;4034.26;505.764;486.806;911.804;574.211;2002.4;3245.69;
10;112.831;50.8067;644.436;148.568;220.47;493.606;436.267;1246.4;2631.74;3394.57;108.209;135.144;147.059;255.018;363.642;249.773;1071.5;1708.18;1200.33;
11;166.227;85.7123;58.0433;73.6441;251.752;176.699;1595.78;2454.39;4025.15;58.4995;125.097;102.76;95.2456;152.172;100.253;231.682;588.718;348.408;1665.17;
12;120.975;80.7572;113.637;185.348;403.243;829.351;1235.4;56.7448;65.6101;92.1008;65.4984;75.3863;105.881;152.506;291.874;165.543;338.142;285.908;457.645;
13;101.092;91.4092;339.423;212.473;1325.09;841.265;70.9432;71.4377;53.1321;54.4065;96.263;115.859;113.963;148.411;208.641;282.787;672.747;749.583;429.256;
14;110.391;80.9721;739.965;310.103;797.757;2089.22;83.3863;52.8252;69.9839;108.235;84.5557;90.394;101.288;179.737;612.118;168.789;429.036;322.793;528.15;
15;83.6628;156.795;279.249;622.955;1276.88;33.4459;30.3664;58.1529;49.0492;60.6958;144.057;109.31;54.751;136.82;107.865;206.944;136.668;152.919;179.482;
16;81.5734;469.797;678.976;533.575;27.1287;34.7657;58.9128;43.8128;43.8965;49.849;76.5896;102.981;101.16;88.8366;165.08;231.797;183.326;579.216;234.841;
17;182.189;179.606;601.458;1239.52;34.6872;44.1078;57.4827;106.066;61.3152;52.3759;75.4805;85.6173;55.369;82.2036;103.546;78.868;131.497;155.213;183.526;
18;84.9523;148.752;496.644;34.632;32.076;54.1481;65.6767;74.5944;80.7769;99.3048;51.1593;79.3802;92.5035;103.075;274.431;133.604;97.6672;276.907;625.718;
19;65.6303;113.788;684.18;27.0936;27.4259;42.2932;57.4044;52.0576;47.269;77.3274;81.2953;118.404;94.6969;98.8165;108.287;149.317;153.448;291.943;166.282;

