;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5016.35;5011.15;5024.88;5025.61;5012.61;5038.39;5023.34;5029.38;5033.07;5032.33;5026.7;5049.92;5064.14;5062.79;5057.2;5085.6;5047.3;5085.53;5038.35;
2;5014.51;5012.93;5024.35;5018.8;5035.71;5049.72;5022.3;5027.51;5021.32;5041.91;5062.44;5033.81;5031.88;5030.51;5043.02;5041.73;5067.66;5055.95;5064.16;
3;5009.57;5017.36;5021.78;5016.29;5027.87;5020.49;5040.89;5017.83;5041.48;5035.07;5037.71;5053.94;5051.87;5029.57;5039.12;5072.46;5031.69;5068.17;5070.53;
4;5011.47;5008.57;5019.03;5024.87;5022.01;5034.31;5029.67;5033.28;5052.37;5040.54;5052.34;5043.18;5079.1;5032.17;5052.98;5079.11;5077.84;5059.33;5054.73;
5;5012.37;5013.31;5033.59;5019.4;5016.93;5023.79;5031.86;5037.33;5037.92;5037.69;5036.7;5031.63;5031.75;5023.5;5035.93;5053.71;5053.58;5049.72;5033.62;
6;5008.83;5012.64;5011.32;5030.12;5029.48;5027.63;5034.2;5051.77;5019.89;5037.2;5052.66;5029.35;5061.47;5055.76;5050.9;5072.93;5079.71;5114.8;5071.34;
7;5013.07;5012.19;5018.98;5031.83;5018.73;5030.88;5047.24;5041.8;5021.37;5045.54;5048.71;5047.78;5040.05;5037.53;5052.3;5042.84;5042.07;5080.34;5073.44;
8;5011.85;5010.57;5019.88;5028.73;5044.2;5043.52;5042.62;5026.88;5025.21;5033.5;5067.61;5051.51;5057.18;5028.2;5066.57;5073.43;5050.48;5046.52;5050.39;
9;5006.02;5020.45;5014.31;5013.19;5035.07;5042.68;5031.36;5040.44;5070.14;5036.07;5032.04;5040.24;5040.07;5070.91;5051.5;5042.16;5061.75;5072.81;5035.22;
10;5008.59;5013.69;5021.99;5020.78;5033.89;5036.86;5040.67;5021.8;5044.21;5047.56;5036.82;5060.25;5043.24;5036.37;5036.12;5080.08;5079.6;5083.1;5107.59;
11;5007.69;5016.22;5033.12;5043.45;5038.63;5029.59;5039.37;5067.95;5036.87;5028.99;5021.61;5020.81;5032.05;5053.05;5041.83;5073.74;5051.77;5053.66;5062.07;
12;5008.76;5011.17;5033.02;5021.26;5025.39;5007.82;5045.53;5040.34;5058.21;5036.06;5027.22;5031.13;5033.94;5048.03;5049.15;5072.43;5084.83;5049.08;5037.55;
13;5021.05;5018.08;5008.6;5014.56;5022.23;5025.09;5029.93;5029.56;5038.82;5025.26;5028.51;5042.22;5020.04;5059.44;5096.13;5061.75;5048.63;5062.18;5063.17;
14;5014.78;5011.1;5023.57;5016.01;5022.2;5027.14;5030.44;5030.09;5025.09;5011.13;5047.98;5028.18;5040.03;5067.55;5065.86;5050.6;5064.07;5036.22;5066.29;
15;5019.31;5013.18;5020.77;5019.94;5025.96;5032.52;5029.27;5032.13;5046.79;5076.23;5061.74;5021.02;5034.61;5064.89;5045.42;5084.32;5065.91;5052.49;5030.14;
16;5017.82;5011.1;5019.75;5038.15;5015.97;5028.87;5026.1;5062.85;5049.83;5045.18;5026.48;5034.33;5048.4;5068.61;5037.93;5048.31;5090.58;5057.62;5059.91;
17;5006.41;5011.68;5041.85;5035.42;5030;5043.94;5021.01;5039.24;5043.86;5055.2;5039.65;5039.49;5055.17;5056.97;5050.37;5087.85;5060.42;5070.22;5027.37;
18;5008.93;5010.78;5023.3;5046.99;5024.29;5022.89;5029.13;5031.4;5046.68;5043.66;5039.97;5040.05;5046.72;5049.82;5050.05;5095.58;5072.31;5063;4985.63;
19;5016.55;5027.72;5024.22;5022.92;5004.43;5014.85;5044.43;5040.86;5043.73;5048.72;5033.28;5035.6;5046.95;5064.17;5114.74;5040.59;5056.56;5033.82;2827.48;

