;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
2;5000;5000.23;5000;5000.01;5000.01;5000;5000.02;5000.02;5000.02;5000.04;5000.17;5000.02;5000.73;5000.3;5001.2;5000.04;5000.12;5000.14;5000.03;
3;5000;5000;327.522;248.215;1435.58;5000;5000.18;5000.03;5000.03;5000.02;5001.81;5000.03;5000.13;5000.05;5000.36;5000.1;5000.28;5010.08;5002.25;
4;5000;5000.01;3266.22;759.282;142.521;4459.63;1072.5;5000.03;5000.01;5000.37;5000.04;5000.05;5000.04;5000.06;5000.05;5003.85;5000.07;5000.08;5000.08;
5;5000;383.282;338.404;128.492;304.515;228.132;5000.01;3276.62;5000.04;5000.42;5000.23;5000.05;5000.03;5000.07;5000.36;5000.06;5000.08;5001.88;5000.62;
6;2612.86;338.094;286.914;152.415;272.432;193.226;179.396;1313.49;365.921;5000.04;5000.06;3194;5000.07;5006.68;5000.08;5000.08;5000.29;5002.08;5000.1;
7;5000;1560.5;84.4819;214.503;110.682;202.644;379.08;5000;623.225;5000.04;3732.3;5000.07;5005.89;5000.11;5000.36;5000.08;5000.11;5002.97;5000.19;
8;3203.08;552.23;525.476;27.8318;931.357;346.022;311.477;5000.03;704.318;5000.05;5000.05;5000.85;5000.14;5000.11;5000.1;5000.11;5000.08;5000.07;5000.08;
9;378.273;5000.01;297.308;81.434;182.211;231.264;142.617;1162.41;5000.04;5000.05;5000.21;5000.08;5000.09;5000.13;2097.73;5000.09;5000.08;5000.05;5000.17;
10;5000;115.195;5000.02;442.664;261.107;703.309;973.104;5000.07;5000.08;5000.09;598.436;258.802;3931.07;541.288;1067.88;2438.43;5000.01;5000.18;2194.41;
11;5000.01;124.977;103.072;181.878;354.171;345.511;5000.02;5000.06;5000.08;72.5155;267.902;53.705;647.721;5000.14;274.812;2536.1;5000.18;893.937;5000.22;
12;5000.01;185.865;310.079;435.493;1640.78;1395.32;4378.88;64.964;102.845;149.211;97.8527;89.6309;323.828;421.893;533.705;249.962;288.872;693.148;5000.03;
13;717.378;232.615;3543.26;356.698;2387.7;748.826;112.325;55.6749;64.6718;81.0537;212.587;110.354;183.619;136.001;686.502;5000.04;1975.88;2532.84;761.667;
14;468.057;143.028;5000.01;501.739;2535.19;5000.1;68.3761;50.3117;59.5264;180.829;238.533;486.371;231.46;115.301;164.306;728.029;3132.87;288.364;916.474;
15;120.159;284.21;601.235;1606.38;3783.37;25.4956;38.0529;28.3368;103.066;95.9122;119.598;146.807;46.7012;5000.14;103.348;2108.65;5000.29;305.53;204.096;
16;1332.44;405.665;643.423;950.112;22.7815;40.9602;61.9384;35.1322;42.0787;26.0942;71.9905;69.4197;75.7401;510.068;286.092;381.74;264.729;5000.33;1325.19;
17;4642.37;184.406;1425.34;1737.22;71.7087;42.1394;46.4722;173.152;37.6354;35.9972;51.2791;149.603;45.4914;78.5761;242.958;136.915;242.116;78.2251;176.418;
18;437.326;251.533;1372.93;43.6547;28.9418;38.0219;72.8672;64.7912;73.953;79.988;51.0691;96.7607;88.6868;95.9372;267.478;168.493;477.036;896.08;1474.66;
19;4999.89;155.171;1527.64;23.3346;25.7691;47.5037;35.485;59.4595;75.2013;83.2724;67.5684;83.7931;232.966;69.7255;71.9464;146.679;132.733;765.652;141.416;
20;954.075;512.158;2414.15;68.1861;56.706;49.7333;57.4578;20.9158;51.8649;56.2082;461.921;58.6099;162.44;231.833;734.423;341.178;145.708;313.142;115.479;

