;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5000.01;5000.01;5000.2;5000.01;5000.01;5000.28;5001.73;5001.09;5000.02;5000.24;5001.25;5000.59;5000.09;5000.02;5000.59;5000.08;5000.03;5004.12;5000.17;
2;5000;5000.01;5000.01;5000.01;5000.01;5000.48;5000.01;5000.01;5000.02;5000.03;5000.26;5000.03;5000.03;5000.03;5000.37;5000.03;5001.91;5000.03;5000.98;
3;5000;723.96;183.418;835.376;1816.83;5000.01;5000;5000.02;5000.03;5000.03;5000.04;5000.17;5000.58;5001.41;5000.23;5000.05;5000.69;5000.62;5000.06;
4;627.853;5000;450.304;445.916;1949.52;5000;1016.62;5000.01;4840.05;5000.17;5000.02;5001.36;5000.04;5000.04;5000.15;5000.06;5000.06;5000.06;5006.4;
5;1820.16;320.849;182.414;243.122;765.303;340.423;5000;1023.04;5000.01;5000.05;5000.05;5000.04;5000.06;5000.12;5000.07;5000.08;5000.07;5001.6;5000.09;
6;670.113;398.1;457.89;354.651;397.537;303.153;263.6;569.082;333.928;5006.26;5000.01;5000.06;5000.06;5000.07;5000.08;5003.18;5000.08;5000.51;5000.09;
7;596.314;592.099;113.485;302.899;135.242;232.643;400.415;3952.22;782.656;2058.51;3191.49;5000.09;5000.08;5000.08;5000.56;5000.11;5001.89;5000.11;5000.12;
8;261.543;236.372;2879.82;74.9193;278.834;400.554;294.475;3983.82;655.336;5000;5000.02;5000.06;5000.07;5000.1;5000.09;5000.5;5000.1;5000.02;5000.1;
9;606.707;5000;164.34;184.471;491.771;420.635;253.123;1648.96;5000.07;5001.15;5000.12;5000.1;5000.08;1374.55;1944;977.11;902.103;5000.09;5000.11;
10;314.674;108.157;5000.01;871.574;1000.9;3818.14;974.846;5000.05;5000.08;5000.12;171.749;275.379;218.956;518.522;2027.77;635.6;5000.06;5000.03;1824.64;
11;284.161;211.882;114.426;213.549;476.557;389.106;4705.65;5000.03;5001.67;104.858;366.63;120.49;280.07;517.464;226.467;419.502;5000.09;577.858;5000.12;
12;552.853;255.766;580.795;514.111;2212.12;1807.2;3781.36;127.44;184.052;297.261;121.525;96.1625;168.234;296.132;1086.04;257.779;1138.57;644.616;807.77;
13;341.328;261.514;2380.92;587.952;2135.46;657.904;108.633;96.9734;72.9823;89.6697;134.231;226.242;226.442;229.191;821.904;850.204;5000.02;5000.76;778.04;
14;237.069;167.397;5000.02;717.627;2980.21;5000.07;170.901;87.6823;100.565;271.599;130.517;143.662;191.982;440.201;5000.01;232.64;2666.55;1118.52;1414.04;
15;242.044;543.477;762.7;1820.52;4577.54;55.0745;47.1641;81.8828;125.233;115.39;222.273;338.56;102.296;271.007;173.232;571.907;245.777;192.626;313.503;
16;223.468;3775.43;2167.51;1270.11;46.1809;60.4424;142.653;60.9798;82.6081;69.2881;129.651;158.778;138.16;146.578;225.678;357.418;814.378;5000;832.515;
17;510.389;381.944;760.302;4700.35;56.9767;72.701;100.888;236.331;115.318;79.6974;143.659;133.064;81.7771;172.092;228.02;116.782;254.501;344.088;498.099;
18;164.258;495.354;1527.83;82.1427;52.8645;74.3434;106.557;161.196;150.096;253.54;85.965;180.33;190.996;205.566;1860.7;243.284;242.043;820.268;209.368;
19;218.789;220.19;1485.41;31.8889;49.1758;71.3409;84.7003;132.529;90.3621;176.899;139.672;224.309;127.051;134.58;196.444;308.981;418.066;741.705;483.815;

