;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5036.69;5030.87;5075.65;5030.81;5028.4;5109.36;5052.58;5051.15;5060.47;5108.17;5046;5161.42;5093.75;5217.9;5183.76;5237.9;5197.26;5185.84;5147.4;
2;5037.27;5024.98;5081.16;5056.35;5118.29;5097.91;5047.73;5040.29;5038.49;5119.2;5093.83;5073.18;5103.92;5062.23;5124.25;5082.56;5154.05;5119;5115.23;
3;5030.12;5044.23;5044.68;5051.82;5089.21;5062.28;5163.84;5030.31;5089.02;5098.01;5117.02;5128.84;5215.9;5148.86;5119.42;5137.89;5073.88;5183.95;5200.3;
4;5022.4;5030.52;5069.22;5067.9;5048.37;5067.06;5067.14;5080.57;5156.35;5109.92;5279.78;5144.84;5263.99;5108.93;5125.48;5305.09;5144.72;5131.22;5208.79;
5;5034.58;5032.17;5100.94;5058.26;5041.9;5072.25;5144.82;5108.57;5188.5;5106.28;5124.95;5056.01;5076.6;5076.72;5078.1;5220.04;5117.81;5119.07;5056.54;
6;5014.06;5038.8;5043.86;5059.71;5079.69;5116.96;5078.52;5135.1;5044.99;5085.39;5098;5091.4;5229.16;5160.59;5179.4;5163.93;5256.35;5310.2;5223.03;
7;5023.12;5032.55;5036.23;5062.17;5052.58;5088.54;5143.37;5086.61;5053.44;5124.65;5121.58;5151.28;5116.47;5060.07;5281.69;5050.65;5110.26;5274.6;5134.82;
8;5044.91;5025.17;5060.95;5125.75;5093.94;5150.8;5100.74;5072.85;5043.13;5063.09;5229.02;5137.05;5197.59;5059.89;5155.22;5214.55;5140.41;5120.34;5092.05;
9;5013.27;5042.42;5027.44;5036.18;5085.24;5154.95;5060.33;5110.55;5082.55;5076.1;5064.02;5103.41;5085.81;5149.57;5100.88;5098.87;5260.13;5166.53;5127.59;
10;5029.98;5028.83;5058.09;5054.69;5099.83;5156.01;5082.9;5064.54;5142.53;5078.41;5062.86;5116.71;5124.18;5097.67;5069.2;5171.52;5171.39;5236.62;5171.67;
11;5033.52;5038.97;5057.82;5084.03;5072.92;5055.2;5143.55;5187.25;5093.63;5098.8;5047.08;5069.2;5065.27;5123.99;5131.17;5249.58;5131.18;5125.82;5210.37;
12;5023.26;5028.72;5076.09;5020.96;5070.87;5011.66;5118.22;5099.95;5138.91;5095.16;5054.97;5071.76;5075.42;5146.68;5123.39;5194.34;5258.11;5216.38;5083.8;
13;5046.77;5050.06;5027.89;5034.43;5087.52;5070.96;5066.47;5068.59;5092.99;5070.93;5047.96;5091.59;5051.07;5209.84;5281.7;5163.57;5188.92;5182.93;5125.67;
14;5041.83;5025.9;5045.76;5040.98;5053.64;5083.29;5051.95;5104.97;5086.7;5032.08;5198.46;5150.86;5056.42;5171.02;5217.71;5162.1;5296.41;5150.78;5244.98;
15;5039.08;5043.5;5083.97;5047.37;5119.47;5124.94;5088.02;5180.27;5120.22;5123.04;5242.25;5096.76;5104.25;5138.08;5143.74;5211.65;5221.17;5111.34;5060.65;
16;5043.04;5030.83;5032.15;5137.09;5060.49;5049.17;5063.06;5159.49;5096.24;5126.37;5078.46;5100;5128.1;5254.01;5103;5141.49;5096.79;5178.65;5194.24;
17;5018.55;5034.78;5086.06;5084.02;5046.65;5099.05;5059.03;5105.03;5118.11;5178.13;5105.58;5076.53;5201.7;5116.98;5153.53;5243.09;5202.2;5191.31;5051.67;
18;5012.41;5021.53;5052.26;5095;5050.16;5046.95;5037.1;5078.93;5089.34;5099.09;5042.53;5114.77;5126.55;5079.82;5041.99;5324.11;5151.72;5145.59;5244.47;
19;5037.84;5142.74;5053.06;5065.08;5045.69;5062;5078.31;5085.1;5116.86;5109.59;5042.25;5081.25;5119.08;5234.01;5382.61;5123.16;5210.28;5114.43;5022.95;

