;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000.01;
2;5000;11.523;5.9327;46.0047;139.708;7.8551;185.345;1256.25;641;5000;5000.01;5000;5000;5000.01;5000.01;5000;5000.01;5000.01;5000.01;
3;16.7492;4.3484;4.1616;3.224;4.5503;20.238;84.0452;83.1945;95.7835;645.855;1831.99;3927.75;3782.71;5000;2271.17;5000;5000.01;5000.01;5000.01;
4;3.9033;2.6025;3.8532;5.1835;7.6951;52.2244;25.9449;250.879;69.3448;1369.08;4431.96;228.865;4921.09;4847.55;5000.01;5000.01;5000;5000;5000;
5;2.1708;2.9052;4.0579;5.9259;13.7699;21.4419;34.0098;57.8042;1165.47;4210.94;159.342;574.819;1056.05;5000.01;1481.1;1846.6;1819.46;3268.5;5000;
6;1.8102;2.72;6.6958;4.9658;12.2579;20.7166;50.2882;45.8718;38.3685;29.6251;1333.54;5000.04;483.957;3339.58;5000;492.171;5000.02;5000;5000;
7;2.2688;3.2717;2.7601;4.6705;6.7381;13.7386;19.7536;427.784;75.3645;466.52;289.817;1057.09;671.645;402.617;3999.45;3235.89;2989.41;5000;5000.01;
8;6.3688;4.2338;4.5397;5.3038;13.6833;14.7766;27.0896;60.6327;262.229;29.1165;1416.05;97.5582;601.552;5000;5000.01;2332.51;454.014;102.35;2129.14;
9;2.5871;4.2551;4.3657;7.929;13.3074;19.457;58.6178;23.2262;101.743;94.2242;155.832;464.878;5000;98.4361;58.974;108.257;254.94;978.989;2064.2;
10;2.8816;5.8119;7.0433;14.259;19.1396;6.7281;36.1564;94.4173;1650.02;54.4958;27.5103;51.8876;51.4034;56.5262;128.65;190.168;443.64;212.281;173.003;
11;4.2077;7.0466;6.5851;9.8583;20.0207;19.7746;105.026;315.288;801.797;50.5127;31.9358;19.2865;98.5743;195.947;125.616;61.6183;1154.37;47.8401;72.3657;
12;3.7829;3.6098;4.9409;22.4776;25.5056;37.2516;101.585;24.616;24.435;33.3762;71.9721;179.579;326.536;68.2113;96.7077;215.104;162.548;133.204;288.996;
13;4.0105;5.8916;11.9447;14.154;97.5331;50.1436;20.8159;22.6289;26.7802;31.6935;50.9447;161.763;36.3227;58.3948;71.4356;475.507;89.9511;71.8964;568.202;
14;4.6128;7.3384;14.258;18.4798;92.6657;99.4895;17.0991;34.6309;25.0549;26.4941;40.0256;56.7279;54.6984;184.491;149.59;215.909;341.945;140.495;405.372;
15;6.881;8.9311;13.1228;35.5715;27.3128;21.4566;14.8391;33.6871;21.4105;38.9429;25.0186;41.6734;115.656;42.6851;59.4104;137.415;91.0121;102.915;161.95;
16;6.8421;7.4782;20.8459;30.4535;33.5345;21.5891;17.1106;34.8624;40.3791;45.2673;120.317;46.9763;63.8193;128.605;86.5832;62.3254;135.377;139.681;132.754;
17;4.4864;9.9819;36.077;18.2981;15.7761;24.068;24.2973;41.9784;50.0105;22.2531;55.4843;94.6826;76.6378;173.212;199.488;143.928;104.142;244.959;199.375;
18;5.7861;14.307;18.2191;23.0334;37.7632;16.5511;14.6118;38.1091;34.5855;66.6685;64.4542;96.1378;54.5867;59.2125;91.8316;104.231;125.467;126.203;488.851;
19;8.1575;16.3262;41.3896;18.5172;19.0694;55.0932;36.8957;44.4294;32.2794;46.6817;35.6265;80.423;89.9695;55.5042;130.794;93.2119;173.581;85.3497;143.972;

