;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5000.76;5004.33;5000.9;5010.03;5001.93;5004.54;5008.86;5004.99;5004.45;5008.17;5002.37;5000.93;5031.37;5007.58;5018.55;5001.44;5000.97;5025.74;5005.97;
2;5000.03;5000.53;5000.54;5004.53;5001.59;5004.37;5001.97;5004.58;5005.42;5000.07;5005.67;5000.64;5002.56;5002.23;5000.15;5004.56;5009.41;5013.99;5001.81;
3;5001.69;5001.41;5004.46;5001.46;5000.89;5003.4;5000.49;5001.53;5005.92;5000.43;5005.74;5008.62;5001.54;5001.86;5006.04;5010.18;5000.23;5000.79;5000.15;
4;5000.43;5000.33;5001.29;5000.01;5000.98;5002.94;5001.17;5007.27;5000.79;5002.58;5008.87;5003.3;5002.28;5005.17;5004.19;5001.15;5011.33;5000.65;5001.59;
5;5000.49;5000.35;5004.89;5003.13;5001.49;5002.84;5002.11;5003.25;5010.5;5001.75;5001.55;5004.53;5004.69;5001.08;5002.25;5009.96;5009.47;5009.02;5010.74;
6;5000.93;5000.12;5001.91;5002.15;5000.21;5005.73;5005.38;5013.75;5000.78;5009.2;5002.2;5008.32;5008.35;5004.25;5002.07;5015.17;5010.53;5007.18;5005.52;
7;5001.47;5002.59;5002.39;5003.73;5001.79;5002.71;5002.49;5007.19;5000.61;5007.23;5002.47;5000.49;5008.86;5010.43;5000.03;5009.84;5010.37;5002.87;5033.98;
8;5000.58;5001.52;5000.78;5000.63;5001.76;5000.18;5004.76;5008.55;5000.24;5009.51;5000.6;5004.93;5001.19;5000.4;5000.65;5005.66;5005.53;5018.14;5007.84;
9;5000.01;5000.53;5002.11;5000.67;5002.83;5002.42;5000.02;5000.05;5021.18;5001.04;5003.26;5000.19;5005.52;5010.09;5003.97;5002.29;5019.37;5002.37;5005.77;
10;5000.41;5003.3;5005.87;5004.19;5007.49;5003.75;5002.27;5000.58;5007.63;5007.9;5001.57;5000.72;5008.94;5006.42;5010.21;5006.53;5003.68;5016.52;5010.55;
11;5000.53;5001.34;5011.21;5004.73;5006.07;5006.96;5004.2;5007.02;5000.08;5001.43;5000.47;5005.09;5000.37;5003.28;5002.47;5000.08;5004.52;5003.18;5004.02;
12;5000.5;5001.27;5011.51;5001.28;5001.5;5002.61;5000.84;5002.42;5014.67;5005.29;5002.64;5001.12;5002.85;5002.96;5003.69;5006.17;5009.84;5004.41;5005.96;
13;5008.39;5001.25;5000.34;5002.3;5001.18;5001.13;5000.44;5002.75;5004.97;5002.78;5004.06;5008.23;5001.56;5000.24;5002.77;5007.02;5000.95;5000.88;5001.7;
14;5000.82;5000.35;5007.04;5000.78;5000.47;5003.17;5008.64;5000.33;5003.46;5000.38;5000.68;5000.51;5009.31;5000.96;5007.04;5005.74;5001.89;5002.37;5003.78;
15;5001.38;5000.64;5002.34;5008.3;5002.1;5001.91;5000.74;5000.68;5002.18;5031.49;5000.18;5004.07;5000.31;5017.2;5003.07;5022.24;5000.6;5007.48;5004.93;
16;5002.79;5001.62;5003.7;5000.03;5000.18;5006.07;5000.57;5004.82;5009.77;5005.99;5000.25;5001.23;5001.75;5000.37;5007.61;5002.96;5025.37;5001.2;5007.86;
17;5000.31;5000.39;5009.27;5004.3;5013.9;5008.53;5006.3;5001.27;5002.12;5005.93;5003;5006.01;5000.07;5002.61;5004.83;5003.32;5001.44;5000.07;5003.39;
18;5001.99;5000.18;5001.8;5003.24;5000.86;5003.66;5006.3;5003.97;5006.02;5005.72;5000.46;5001.04;5003.03;5003.55;5005.78;5012.46;5018.12;5000.25;4258.34;
19;5003.08;5002.26;5001.04;5000.32;4887.29;4793.38;5002.85;5011.64;5004.32;5002.19;5000.38;5003.71;5009;5002.13;5000.15;5006.92;5003.77;5002.43;668.212;

